id,body part,target_area,name,equipment,level,description,gif_link
1,chest,Middle Chest,Flat Barbell Bench Press,Barbell,Intermediate,Classic compound press that builds mass in the mid chest.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2021/09/bench-press.gif
2,chest,Upper Chest,Incline Barbell Bench Press,Barbell,Intermediate,Performed on a 30–45° bench to emphasize the upper fibers.,https://www.strengthlog.com/wp-content/uploads/2020/03/Incline-Bench-Press.gif
3,chest,Lower Chest,Decline Barbell Bench Press,Barbell,Intermediate,Barbell press on a decline bench to hit the lower pectorals.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Decline-Bench-Press.gif
4,chest,Upper Chest,Reverse-Grip Bench Press,Barbell,Advanced,Reverse grip shifts focus to the upper chest and reduces shoulder stress.,https://www.strengthlog.com/wp-content/uploads/2024/11/Smithmachinereverse-grip-bench-press.gif
5,chest,Upper Chest,Guillotine Press (Neck Press),Barbell,Advanced,Bar is lowered toward the neck; high activation of upper pecs (requires caution).,https://barbend.com/wp-content/uploads/2023/04/guillotine-press-barbend-movement-gif-masters.gif
6,chest,Inner Chest,Close-Grip Bench Press,Barbell,Intermediate,Closer hand spacing targets inner chest and triceps.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/02/Smalb%C3%A4nk.gif
7,chest,Middle Chest,Flat Dumbbell Press,Dumbbell,Intermediate,Free-weight version of bench press for balance and control.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Dumbbell-Chest-Press.gif
8,chest,Upper Chest,Incline Dumbbell Press,Dumbbell,Intermediate,Focuses on the upper chest with more freedom of motion.,https://www.strengthlog.com/wp-content/uploads/2020/03/Dumbbell-Incline-Press.gif
9,chest,Lower Chest,Decline Dumbbell Press,Dumbbell,Intermediate,Dumbbell version to isolate the lower chest fibers.,https://workouts4fitness.files.wordpress.com/2017/05/decline-dumbbell-bench-press1.gif
10,chest,Inner Chest,Dumbbell Fly,Dumbbell,Beginner,Isolation move focusing on the chest contraction at the top.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/02/Reverse-dumbbell-flyes.gif
11,chest,Upper Chest,Incline Dumbbell Fly,Dumbbell,Beginner,Stretch and contract upper chest with dumbbells on an incline.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Dumbbell-Chest-Fly.gif
12,chest,Lower Chest,Decline Dumbbell Fly,Dumbbell,Beginner,Stretch lower pec fibers; excellent finisher.,https://barbend.com/wp-content/uploads/2022/01/decline-dumbbell-flye-barbend-movement-gif-masters.gif
13,chest,Inner Chest,Squeeze Press,Dumbbell,Intermediate,Press dumbbells together while lifting to emphasize inner pecs.,https://burnfit.io/wp-content/uploads/2023/11/DB_SQUEEZE_PRESS.gif
14,chest,Upper Chest,Pullover,Dumbbell,Intermediate,Expands rib cage and strengthens chest-lat connection.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Dumbbell-Pullover.gif
15,chest,Lower Chest,Cable Crossover (High to Low),Cable,Intermediate,Pull cables from high to low to work lower pecs.,https://burnfit.io/wp-content/uploads/2023/11/CROSS_OVER.gif
16,chest,Upper Chest,Cable Crossover (Low to High),Cable,Intermediate,Pull cables upward to engage upper chest.,https://www.barbellmedicine.com/wp-content/uploads/2025/07/lowtohighcableflye.gif
17,chest,Middle Chest,Cable Fly (Mid-Level),Cable,Beginner,Pull cables horizontally to hit the central chest area.,https://www.barbellmedicine.com/wp-content/uploads/2025/07/cableflye.gif
18,chest,Inner Chest,Single Arm Cable Crossover,Cable,Intermediate,Focuses contraction on inner chest by crossing arm fully.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2022/10/resistance-band-chest-fly-ezgif.gif
19,chest,Middle Chest,Standing Cable Press,Cable,Beginner,Mimics dumbbell press while maintaining tension.,https://greenphysique.com/wp-content/uploads/2022/03/Cable-Chest-Press-Freemotion.gif
20,chest,Upper Chest,Incline Cable Press,Cable,Intermediate,Bench at 30–45° angle with low pulley start point.,https://i.makeagif.com/media/5-07-2021/VgHhoA.gif
21,chest,Middle Chest,Chest Press Machine,Machine,Beginner,Safe version of bench press for controlled pressing.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/machine-chest-press.gif
22,chest,Upper Chest,Incline Chest Press Machine,Machine,Beginner,Machine-based press at incline angle.,https://greenphysique.com/wp-content/uploads/2022/03/Incline-Chest-Press-Machine.gif
23,chest,Lower Chest,Decline Chest Press Machine,Machine,Beginner,Targets lower chest with stable support.,https://burnfit.io/wp-content/uploads/2023/11/DEC_CHEST_MAC.gif
24,chest,Inner Chest,Pec Deck Fly,Machine,Beginner,Focus on squeezing pecs together at end of movement.,https://burnfit.io/wp-content/uploads/2023/11/PEC_DECK_MC.gif
25,chest,Middle Chest,Seated Chest Press (Hammer Strength),Machine,Intermediate,Plate-loaded version mimicking dumbbell press.,https://timshevlin.com/wp-content/uploads/2022/01/Chest-Press-on-Chest-Press-Machine-2.gif
26,chest,Upper Chest,Incline Hammer Press,Machine,Intermediate,Machine-based incline press with neutral grip.,https://cdn.jefit.com/assets/img/exercises/gifs/178.gif
27,chest,Middle Chest,Push-Up,Bodyweight,Beginner,Fundamental chest exercise with full range motion.,https://hips.hearstapps.com/hmg-prod/images/pushup-1462808858.gif
28,chest,Upper Chest,Decline Push-Up (Feet Elevated),Bodyweight,Beginner,Elevate feet to shift focus upward.,https://hips.hearstapps.com/hmg-prod/images/workouts/2016/03/feetelevatedpushup-1457047025.gif
29,chest,Lower Chest,Incline Push-Up (Hands Elevated),Bodyweight,Beginner,Hands on a bench to hit the lower pecs.,https://hips.hearstapps.com/hmg-prod/images/workouts/2016/03/handselevatedpushup-1457044517.gif
30,chest,Lower Chest,Dips (Forward Lean),Bodyweight,Intermediate,Lean forward to target the lower chest fibers.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/02/Dips.gif
31,chest,Middle Chest,Wide Push-Up,Bodyweight,Beginner,Wider hand placement emphasizes outer and mid chest.,https://hips.hearstapps.com/hmg-prod/images/workouts/2017/10/widegrippushup-1508248881.gif
32,chest,Inner Chest,Diamond Push-Up,Bodyweight,Intermediate,Hands together forming a diamond to work inner chest.,https://images.ctfassets.net/6ilvqec50fal/3hTY3FIEwYdNloN5V3HL7G/26e28de169b01e5e79332e5418803470/Diamond_Push-Up_GIF.gif
33,chest,Middle Chest,Resistance Band Chest Press,Band,Beginner,Simulates bench press motion using resistance bands.,https://gymbeam.cz/blog/wp-content/uploads/2021/10/08-Tlaky-s-gumou-na-hrudnik_2.gif
34,chest,Upper Chest,Resistance Band Incline Press,Band,Beginner,Anchor band low and press upward.,https://cdn.shopify.com/s/files/1/0655/4832/1000/files/unnamed_d24715f5-456a-490c-8065-0f0932fa7739_480x480.gif
35,chest,Inner Chest,Resistance Band Crossover,Band,Beginner,Cross arms in front to hit the inner pecs.,https://i.pinimg.com/originals/9e/15/aa/9e15aa811fc3ba95ba692846194565ed.gif
36,chest,Upper Chest,Landmine Press,Barbell (Landmine),Intermediate,Press at an upward angle using landmine setup.,https://cdn.shopify.com/s/files/1/0250/0362/2496/files/334.gif
37,back,Middle Back,Barbell Bent-Over Row,Barbell,Intermediate,Classic back builder that targets the middle back and lats.,https://hips.hearstapps.com/hmg-prod/images/workouts/2016/03/barbellrow-1457038583.gif
38,back,Lower Back,Barbell Deadlift,Barbell,Advanced,"Compound lift engaging the lower back, traps, and overall posterior chain.",https://hips.hearstapps.com/hmg-prod/images/workouts/2016/03/barbelldeadlift-1457038089.gif
39,back,Middle Back,Pendlay Row,Barbell,Advanced,Strict barbell row from the floor focusing on explosive pulling power.,https://barbend.com/wp-content/uploads/2022/05/pendlay-row-barbend-movement-gif-masters-2.gif
40,back,Middle / Upper Back,T-Bar Row,Barbell,Intermediate,Thickens middle back and develops overall density.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/04/t-bar-row-machine.gif
41,back,Traps,Barbell Shrug,Barbell,Beginner,Targets upper traps for building thickness.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Barbell-Shrug.gif
42,back,Lower Back / Traps,Rack Pull,Barbell,Advanced,Partial deadlift movement focusing on traps and spinal erectors.,https://www.strengthlog.com/wp-content/uploads/2020/02/Rack-pull.gif
43,back,Lats / Middle Back,One-Arm Dumbbell Row,Dumbbell,Intermediate,Single-arm movement focusing on lats and mid-back thickness.,https://hips.hearstapps.com/hmg-prod/images/workouts/2017/10/singlearmrow-1509461862.gif
44,back,Lower Back,Dumbbell Deadlift,Dumbbell,Intermediate,Deadlift variation targeting erector spinae and traps.,https://hips.hearstapps.com/hmg-prod/images/workouts/2016/03/dumbbelldeadlift-1457044319.gif
45,back,Upper Back / Lats,Incline Dumbbell Row,Dumbbell,Intermediate,Row on incline bench to isolate upper and mid-back.,https://hips.hearstapps.com/hmg-prod/images/workouts/2017/04/chestsupportedrow-1492110815.gif
46,back,Lats,Dumbbell Pullover,Dumbbell,Beginner,Isolation movement for expanding the rib cage and stretching lats.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Dumbbell-Pullover.gif
47,back,Traps,Dumbbell Shrug,Dumbbell,Beginner,Effective for developing upper traps.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Dumbbell-Shrug.gif
48,back,Middle Back,Seated Cable Row,Cable,Beginner,Controlled row for mid-back and rhomboid activation.,https://barbend.com/wp-content/uploads/2023/03/seated-cable-row-barbend-movement-gif-masters.gif
49,back,Lats / Upper Back,Lat Pulldown (Wide Grip),Cable,Beginner,Targets lats and upper back width.,https://cdn.shopify.com/s/files/1/0250/0362/2496/files/1312.gif
50,back,Middle Back / Lats,Lat Pulldown (Close Grip),Cable,Beginner,Emphasizes inner lats and middle back thickness.,https://cdn.shopify.com/s/files/1/0250/0362/2496/files/1206.gif
51,back,Lats,Straight Arm Pulldown,Cable,Intermediate,Isolation movement focusing on lat stretch and contraction.,https://barbend.com/wp-content/uploads/2023/03/straight-arm-pulldown-barbend-movement-gif-masters.gif
52,back,Upper Back / Traps,Face Pull,Cable,Intermediate,"Strengthens rear delts, traps, and upper back.",https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/05/face-pull.gif
53,back,Lower Lats,Reverse Grip Seated Row,Cable,Intermediate,Variation for lower lats activation and better contraction.,https://images.ctfassets.net/8urtyqugdt2l/62LjewN1EzigoqsROGQQwY/c1c7583d35f8f4ee4090f7ea2d2236c5/ezgif.com-gif-maker__14_.gif
54,back,Middle Back,Machine Row,Machine,Beginner,Stable rowing motion to build mid-back safely.,https://burnfit.io/wp-content/uploads/2023/11/MC_LOW.gif
55,back,Middle Back / Lats,Hammer Strength Row,Machine,Intermediate,Plate-loaded machine to develop mid and upper back.,https://greenphysique.com/wp-content/uploads/2022/03/Overhand-Grip-One-Arm-Row-Machine.gif
56,back,Lats / Upper Back,Machine Lat Pulldown,Machine,Beginner,Controlled vertical pull for lats and upper back width.,https://burnfit.io/wp-content/uploads/2023/11/LAT_PULL_DOWN.gif
57,back,Upper Back / Traps,Reverse Pec Deck (Rear Delt Fly Machine),Machine,Beginner,Works rear delts and traps for upper back development.,https://barbend.com/wp-content/uploads/2022/11/reverse-flye-on-peck-deck.gif
58,back,Lower Back,Lower Back Extension (Hyperextension),Machine,Beginner,Strengthens spinal erectors and lower back stability.,https://media1.tenor.com/m/Fsu8AmbXPl0AAAAC/back-extension.gif
59,back,Lats / Upper Back,Pull-Up (Wide Grip),Bodyweight,Intermediate,Excellent compound movement for back width.,https://media.giphy.com/media/jVZFKDqkbxDEkbfGUA/giphy.gif
60,back,Lats / Middle Back,Chin-Up (Underhand Grip),Bodyweight,Intermediate,Focuses on lower lats and biceps involvement.,https://cdn.jefit.com/assets/img/exercises/gifs/1263.gif
61,back,Middle Back,Inverted Row,Bodyweight,Beginner,Horizontal pull for mid-back and scapular control.,https://hips.hearstapps.com/hmg-prod/images/workouts/2016/03/invertedrow-1457101739.gif
62,back,Lower Back,Back Extension (Floor or Bench),Bodyweight,Beginner,Bodyweight version of hyperextension for lower back.,https://www.inspireusafoundation.org/file/2022/05/floor-back-extensions.gif
63,back,Middle Back,Resistance Band Row,Band,Beginner,Simulates cable row for mid-back development.,https://cdn.shopify.com/s/files/1/0655/4832/1000/files/IMG_0440_MOV_AdobeExpress_2be53195-ec39-4818-891e-3e6d12605f40.gif
64,back,Lats,Resistance Band Pulldown,Band,Beginner,Alternative to cable pulldown focusing on lats.,https://www.inspireusafoundation.org/file/2022/10/band-lat-pulldown.gif
65,back,Traps / Upper Back,Resistance Band Face Pull,Band,Beginner,Strengthens traps and upper back with controlled tension.,https://hips.hearstapps.com/hmg-prod/images/workouts/2016/12/bandfacepull-1480628546.gif
66,back,Lower Back,Good Morning (Resistance Band),Band,Intermediate,Targets erector spinae for spinal stability and lower back strength.,https://biqbandtraining.com/wp-content/uploads/2020/05/Good-Morning-gif.gif
67,shoulder,Front Delts / Lateral Delts,Overhead Press (Barbell),Barbell,Intermediate,Classic compound press for overall shoulder development.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/12/Overhead-press-exercise.gif
68,shoulder,Rear Delts / Traps,Behind-the-Neck Press,Barbell,Advanced,Targets rear delts and traps; requires good mobility.,https://i.makeagif.com/media/3-28-2018/Zt4u_1.gif
69,shoulder,Front Delts,Front Raise (Barbell),Barbell,Beginner,Isolation movement for front shoulders.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Barbell-Front-Raise.gif
70,shoulder,Lateral Delts / Traps,Upright Row (Barbell),Barbell,Intermediate,Pull bar to chin level to target traps and side delts.,https://cdn.shopify.com/s/files/1/0618/9462/3460/files/2-2_2021-07.gif
71,shoulder,Front Delts / Traps,Push Press,Barbell,Advanced,Explosive press using leg drive to lift heavier weight overhead.,https://www.strengthlog.com/wp-content/uploads/2020/03/Push-Press.gif
72,shoulder,Front Delts / Lateral Delts,Dumbbell Shoulder Press,Dumbbell,Intermediate,Free-weight version of overhead press for balanced shoulder development.,https://barbend.com/wp-content/uploads/2023/10/seated-dumbbell-shoulder-press-barbend-movement-gif-masters-2.gif
73,shoulder,Front Delts / Lateral Delts,Arnold Press,Dumbbell,Intermediate,Rotational dumbbell press engaging all parts of the shoulder.,https://barbend.com/wp-content/uploads/2023/12/arnold-press-barbend-movement-gif-masters.gif
74,shoulder,Front Delts,Front Dumbbell Raise,Dumbbell,Beginner,Raises dumbbells forward to isolate the anterior deltoid.,https://www.strengthlog.com/wp-content/uploads/2020/03/Dumbbell-Front-Raise.gif
75,shoulder,Lateral Delts,Lateral Dumbbell Raise,Dumbbell,Beginner,Raises dumbbells to the sides to widen shoulder appearance.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/12/Dumbbell-Lateral-Raise.gif
76,shoulder,Rear Delts / Traps,Bent-Over Reverse Fly,Dumbbell,Intermediate,Isolates the rear deltoid and upper traps.,https://www.strengthlog.com/wp-content/uploads/2020/02/Reverse-dumbbell-flyes.gif
77,shoulder,Traps,Dumbbell Shrug,Dumbbell,Beginner,Targets upper traps with full contraction at the top.,https://www.strengthlog.com/wp-content/uploads/2020/03/Dumbbell-Shrug.gif
78,shoulder,Lateral Delts,Cable Lateral Raise,Cable,Intermediate,Constant tension on side delts during the raise.,https://i.makeagif.com/media/3-31-2024/iG9zzu.gif
79,shoulder,Front Delts,Cable Front Raise,Cable,Beginner,Smooth cable movement isolates anterior deltoid.,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2025/04/cable-front-raise.gif
80,shoulder,Rear Delts / Traps,Reverse Cable Fly (Crossover),Cable,Intermediate,Pull cables apart to target rear delts.,https://framerusercontent.com/images/XaBaC1Ethi7WQIErt3d39t4ci90.gif
